○ 범죄의 발생 검거상황(총괄) [],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
약취와 유인,남자검거인원[명],명,191,180,212,209,178,245,212,232,234,309,279
약취와 유인,여자검거인원[명],명,72,83,71,86,85,118,91,93,95,109,104
약취와 유인,미상검거인원[명],명,8,27,14,4,5,5,8,-,-,16,14
약취와 유인,법인[개],개,-,-,-,1,-,-,-,-,-,1,-
약취/유인,발생건수[건],건,200,188,194,213,191,253,219,249,281,345,306
약취/유인,발생비[건/10만명],건/10만명,-,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.7,0.6
약취/유인,검거건수[건],건,173,179,184,196,170,226,191,226,254,327,289
약취/유인,발생건수대비 검거건수[%],%,86.5,95.2,94.8,92,89,89.3,87.2,90.8,90.4,94.8,94.4
약취/유인,검거인원[명],명,255,264,288,291,263,337,296,323,325,427,379
약취/유인,남자검거인원[명],명,183,161,207,201,173,227,200,231,231,306,277
약취/유인,여자검거인원[명],명,67,76,67,86,85,107,89,92,94,106,102
약취/유인,미상검거인원[명],명,5,27,14,4,5,3,7,-,-,15,-
약취/유인,법인[개],개,-,-,-,1,-,-,-,-,-,1,-
수수/은닉,발생건수[건],건,1,-,-,,-,-,-,-,-,1,-
수수/은닉,발생비[건/10만명],건/10만명,-,-,-,,-,-,-,-,-,0,-
수수/은닉,검거건수[건],건,1,-,-,,-,-,-,-,-,-,-
수수/은닉,발생건수대비 검거건수[%],%,100,-,-,,-,-,-,-,-,-,-
수수/은닉,검거인원[명],명,1,-,-,1,-,2,-,-,-,-,-
수수/은닉,남자검거인원[명],명,1,-,-,1,-,2,-,-,-,-,-
수수/은닉,여자검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
수수/은닉,미상검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
수수/은닉,법인[개],개,-,-,-,,-,-,-,-,-,-,-
부녀매매,발생건수[건],건,1,-,-,,-,1,1,-,1,-,-
부녀매매,발생비[건/10만명],건/10만명,-,-,-,,-,0,0,-,0,-,-
부녀매매,검거건수[건],건,1,-,-,,-,1,1,-,1,-,-
부녀매매,발생건수대비 검거건수[%],%,100,-,-,,-,100,100,-,100,-,-
부녀매매,검거인원[명],명,3,2,-,,-,1,1,-,2,-,-
부녀매매,남자검거인원[명],명,-,2,-,,-,-,1,-,1,-,-
부녀매매,여자검거인원[명],명,3,-,-,,-,1,-,-,1,-,-
부녀매매,미상검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
부녀매매,법인[개],개,-,-,-,,-,-,-,-,-,-,-
국외이송,발생건수[건],건,-,-,-,,1,1,-,-,-,-,-
국외이송,발생비[건/10만명],건/10만명,-,-,-,,0,0,-,-,-,-,-
국외이송,검거건수[건],건,-,-,-,,1,1,-,-,-,-,-
국외이송,발생건수대비 검거건수[%],%,-,-,-,,100,100,-,-,-,-,-
국외이송,검거인원[명],명,-,-,-,,-,1,-,-,-,-,-
국외이송,남자검거인원[명],명,-,-,-,,-,1,-,-,-,-,-
국외이송,여자검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
국외이송,미상검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
국외이송,법인[개],개,-,-,-,,-,-,-,-,-,-,-
인신매매,발생건수[건],건,4,6,8,3,5,4,2,-,1,3,5
인신매매,발생비[건/10만명],건/10만명,-,0,0,0,0,0,0,-,0,0,0
인신매매,검거건수[건],건,3,6,8,3,2,3,2,-,-,1,4
인신매매,발생건수대비 검거건수[%],%,75,100,100,100,40,75,100,-,-,33.3,80
인신매매,검거인원[명],명,12,23,8,7,4,24,14,-,-,7,18
인신매매,남자검거인원[명],명,7,16,4,7,4,13,11,-,-,3,2
인신매매,여자검거인원[명],명,2,7,4,,-,9,2,-,-,3,2
인신매매,미상검거인원[명],명,3,-,-,,-,2,1,-,-,1,14
인신매매,법인[개],개,-,-,-,,-,-,-,-,-,-,-
"약취와 유인상해,치상,살해,치사",발생건수[건],건,-,1,1,,2,1,1,2,1,-,-
"약취와 유인상해,치상,살해,치사",발생비[건/10만명],건/10만명,-,0,0,,0,0,0,0,0,-,-
"약취와 유인상해,치상,살해,치사",검거건수[건],건,-,1,1,,1,1,1,1,1,-,-
"약취와 유인상해,치상,살해,치사",발생건수대비 검거건수[%],%,-,100,100,,50,100,100,50,100,-,-
"약취와 유인상해,치상,살해,치사",검거인원[명],명,-,1,1,,1,3,-,2,2,-,-
"약취와 유인상해,치상,살해,치사",남자검거인원[명],명,-,1,1,,1,2,-,1,2,-,-
"약취와 유인상해,치상,살해,치사",여자검거인원[명],명,-,-,-,,-,1,-,1,-,-,-
"약취와 유인상해,치상,살해,치사",미상검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
"약취와 유인상해,치상,살해,치사",법인[개],개,-,-,-,,-,-,-,-,-,-,-
체포와 감금,발생건수[건],건,1265,1383,1579,1728,1494,1591,1467,1401,1375,1247,1155
체포와 감금,발생비[건/10만명],건/10만명,2,2.7,3.1,3.3,2.9,3.1,2.8,2.7,2.7,2.4,2.3
체포와 감금,검거건수[건],건,1136,1289,1482,1643,1387,1454,1355,1294,1251,1193,1096
체포와 감금,발생건수대비 검거건수[%],%,89.8,93.2,93.9,95.1,92.8,91.4,92.4,92.4,91,95.7,94.9
체포와 감금,검거인원[명],명,2108,2372,2622,2771,2495,2546,2517,2303,2189,2033,1815
체포와 감금,남자검거인원[명],명,1594,1813,2002,2185,1929,1927,1980,1763,1758,1573,1363
체포와 감금,여자검거인원[명],명,439,463,509,519,476,526,457,449,390,419,407
체포와 감금,미상검거인원[명],명,75,96,111,67,90,93,80,91,41,41,45
체포와 감금,법인[개],개,2,1,3,1,-,-,-,3,1,-,-
체포,발생건수[건],건,55,49,55,56,51,105,46,32,48,48,49
체포,발생비[건/10만명],건/10만명,-,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
체포,검거건수[건],건,38,37,46,45,41,63,32,25,33,36,41
체포,발생건수대비 검거건수[%],%,69.1,75.5,83.6,80.4,80.4,60,69.6,78.1,68.8,75,83.7
체포,검거인원[명],명,91,80,102,118,90,117,70,71,101,69,89
체포,남자검거인원[명],명,59,64,89,92,62,61,50,31,73,57,68
체포,여자검거인원[명],명,20,11,12,14,20,16,9,7,24,7,16
체포,미상검거인원[명],명,12,5,1,12,8,40,11,33,4,5,5
체포,법인[개],개,-,-,-,,-,-,-,-,-,-,-
체포치상,발생건수[건],건,3,1,5,3,8,3,1,3,3,1,3
체포치상,발생비[건/10만명],건/10만명,-,0,0,0,0,0,0,0,0,0,0
체포치상,검거건수[건],건,3,1,3,4,7,2,2,3,3,1,3
체포치상,발생건수대비 검거건수[%],%,100,100,60,133.3,87.5,66.7,200,100,100,100,100
체포치상,검거인원[명],명,8,1,7,21,13,9,8,6,6,1,5
체포치상,남자검거인원[명],명,6,1,6,18,7,9,8,5,4,1,4
체포치상,여자검거인원[명],명,2,-,1,3,2,-,-,1,2,-,1
체포치상,미상검거인원[명],명,-,-,-,,4,-,-,-,-,-,-
체포치상,법인[개],개,-,-,-,,-,-,-,-,-,-,-
체포치사,발생건수[건],건,-,-,-,,-,-,1,-,-,-,-
체포치사,발생비[건/10만명],건/10만명,-,-,-,,-,-,0,-,-,-,-
체포치사,검거건수[건],건,-,-,-,,-,-,1,-,-,-,-
체포치사,발생건수대비 검거건수[%],%,-,-,-,,-,-,100,-,-,-,-
체포치사,검거인원[명],명,-,-,-,,-,-,3,-,-,-,-
체포치사,남자검거인원[명],명,-,-,-,,-,-,1,-,-,-,-
체포치사,여자검거인원[명],명,-,-,-,,-,-,2,-,-,-,-
체포치사,미상검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
체포치사,법인[개],개,-,-,-,,-,-,-,-,-,-,-
감금,발생건수[건],건,1129,1273,1417,1547,1345,1394,1324,1234,1244,1107,1034
감금,발생비[건/10만명],건/10만명,2,2.5,2.7,3,2.6,2.7,2.6,2.4,2.4,2.2,2
감금,검거건수[건],건,1022,1188,1336,1470,1255,1304,1227,1139,1139,1068,983
감금,발생건수대비 검거건수[%],%,90.5,93.3,94.3,95,93.3,93.5,92.7,92.3,91.6,96.5,95.1
감금,검거인원[명],명,1921,2187,2340,2459,2242,2250,2264,1993,1956,1836,1617
감금,남자검거인원[명],명,1444,1658,1767,1933,1748,1714,1773,1543,1578,1403,1208
감금,여자검거인원[명],명,415,439,465,471,419,484,425,393,343,397,369
감금,미상검거인원[명],명,62,90,108,55,75,52,66,57,35,36,40
감금,법인[개],개,2,1,3,1,-,-,-,2,-,-,-
감금치상,발생건수[건],건,76,58,102,121,88,89,94,129,77,91,68
감금치상,발생비[건/10만명],건/10만명,-,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1
감금치상,검거건수[건],건,71,61,97,123,83,85,92,124,74,88,68
감금치상,발생건수대비 검거건수[%],%,93.4,105.2,95.1,101.7,94.3,95.5,97.9,96.1,96.1,96.7,100
감금치상,검거인원[명],명,85,99,173,172,143,170,170,229,123,127,102
감금치상,남자검거인원[명],명,82,85,140,141,106,143,147,183,100,112,83
감금치상,여자검거인원[명],명,2,13,31,31,35,26,20,45,21,15,19
감금치상,미상검거인원[명],명,1,1,2,,2,1,3,1,2,-,-
감금치상,법인[개],개,-,-,-,,-,-,-,-,1,-,-
감금치사,발생건수[건],건,2,2,-,1,2,-,1,3,3,-,1
감금치사,발생비[건/10만명],건/10만명,-,0,-,0,0,-,0,0,0,-,0
감금치사,검거건수[건],건,2,2,-,1,1,-,1,3,2,-,1
감금치사,발생건수대비 검거건수[%],%,100,100,-,100,50,-,100,100,66.7,-,100
감금치사,검거인원[명],명,3,5,-,1,7,-,2,4,3,-,2
감금치사,남자검거인원[명],명,3,5,-,1,6,-,1,1,3,-,-
감금치사,여자검거인원[명],명,-,-,-,,-,-,1,3,-,-,2
감금치사,미상검거인원[명],명,-,-,-,,1,-,-,-,-,-,-
감금치사,법인[개],개,-,-,-,,-,-,-,1,-,-,-
"폭력행위등(손괴,강요,주거침입등)",발생건수[건],건,2140,2207,878,843,769,853,982,1209,1209,1427,1221
"폭력행위등(손괴,강요,주거침입등)",발생비[건/10만명],건/10만명,4,4.3,1.7,1.6,1.5,1.6,1.9,2.3,2.4,2.8,2.4
"폭력행위등(손괴,강요,주거침입등)",검거건수[건],건,2066,2061,835,783,711,810,917,1128,1138,1370,1174
"폭력행위등(손괴,강요,주거침입등)",발생건수대비 검거건수[%],%,96.5,93.4,95.1,92.9,92.5,95,93.4,93.3,94.1,96,96.2
"폭력행위등(손괴,강요,주거침입등)",검거인원[명],명,4996,5119,3060,2987,2826,3248,3675,4131,3913,4766,3531
"폭력행위등(손괴,강요,주거침입등)",남자검거인원[명],명,4045,4180,2396,2326,2063,2396,2556,2857,2895,3656,2540
"폭력행위등(손괴,강요,주거침입등)",여자검거인원[명],명,848,788,617,571,657,780,1040,913,984,1083,946
"폭력행위등(손괴,강요,주거침입등)",미상검거인원[명],명,103,151,47,90,106,72,79,361,34,27,45
"폭력행위등(손괴,강요,주거침입등)",법인[개],개,-,-,3,3,2,1,1,1,1,-,1
"폭력행위등(단체등의구성, 활동)",발생건수[건],건,1212,1123,190,140,164,169,140,133,124,132,148
"폭력행위등(단체등의구성, 활동)",발생비[건/10만명],건/10만명,2,2.2,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3
"폭력행위등(단체등의구성, 활동)",검거건수[건],건,1124,1056,190,129,162,161,128,113,114,123,134
"폭력행위등(단체등의구성, 활동)",발생건수대비 검거건수[%],%,92.7,94,100,92.1,98.8,95.3,91.4,85,91.9,93.2,90.5
"폭력행위등(단체등의구성, 활동)",검거인원[명],명,1809,2139,601,618,970,502,526,640,488,629,610
"폭력행위등(단체등의구성, 활동)",남자검거인원[명],명,1666,1968,569,582,934,436,478,621,439,572,556
"폭력행위등(단체등의구성, 활동)",여자검거인원[명],명,141,161,32,20,33,61,41,17,33,52,54
"폭력행위등(단체등의구성, 활동)",미상검거인원[명],명,2,10,-,16,3,5,7,2,16,5,-
"폭력행위등(단체등의구성, 활동)",법인[개],개,-,-,-,,-,-,-,-,-,-,-
위조범죄,발생건수[건],건,21662,20878,18569,19502,17535,16771,15614,13518,13622,14383,15306
위조범죄,발생비[건/10만명],건/10만명,42,40.5,35.9,37.7,33.8,32.3,30.1,26.2,26.5,28,29.9
위조범죄,검거건수[건],건,14200,15921,14078,14489,14072,12968,11620,9843,9582,10999,12044
위조범죄,발생건수대비 검거건수[%],%,65.6,76.3,75.8,74.3,80.3,77.3,74.4,72.8,70.3,76.5,78.7
위조범죄,검거인원[명],명,23543,22478,20992,19539,18849,19857,18292,13455,13595,14698,14660
위조범죄,남자검거인원[명],명,16746,16297,14965,14082,13334,13983,12771,9366,9438,10154,10011
위조범죄,여자검거인원[명],명,5569,5371,5281,4672,4602,4853,4569,3373,3551,3968,3967
위조범죄,미상검거인원[명],명,1228,810,746,785,913,1021,952,716,606,576,682
위조범죄,법인[개],개,106,116,93,136,79,107,83,53,40,41,106
통화,발생건수[건],건,2770,1823,1811,2798,1203,1026,627,379,452,485,489
통화,발생비[건/10만명],건/10만명,5,3.5,3.5,5.4,2.3,2,1.2,0.7,0.9,0.9,1
통화,검거건수[건],건,154,174,123,533,159,144,65,40,33,55,93
통화,발생건수대비 검거건수[%],%,5.6,9.5,6.8,19,13.2,14,10.4,10.6,7.3,11.3,19
통화,검거인원[명],명,345,300,233,563,304,218,111,63,64,65,108
통화,남자검거인원[명],명,324,272,207,511,265,169,79,57,50,48,84
통화,여자검거인원[명],명,13,14,13,23,20,24,14,4,4,14,23
통화,미상검거인원[명],명,8,14,13,29,19,25,18,2,10,3,1
통화,법인[개],개,-,-,-,,-,1,-,-,-,-,-
유가증권·인지·우표,발생건수[건],건,437,353,293,312,246,200,118,82,71,86,73
유가증권·인지·우표,발생비[건/10만명],건/10만명,1,0.7,0.6,0.6,0.5,0.4,0.2,0.2,0.1,0.2,0.1
유가증권·인지·우표,검거건수[건],건,325,297,241,226,185,141,83,57,48,69,58
유가증권·인지·우표,발생건수대비 검거건수[%],%,74.4,84.1,82.3,72.4,75.2,70.5,70.3,69.5,67.6,80.2,79.5
유가증권·인지·우표,검거인원[명],명,616,462,425,406,342,267,140,88,87,93,91
유가증권·인지·우표,남자검거인원[명],명,516,386,348,331,278,218,111,73,70,75,73
유가증권·인지·우표,여자검거인원[명],명,76,59,59,58,53,39,27,12,16,17,18
유가증권·인지·우표,미상검거인원[명],명,24,17,18,17,11,10,2,3,1,1,-
유가증권·인지·우표,법인[개],개,6,1,3,,2,5,-,-,-,-,1
문서,발생건수[건],건,17927,18002,15671,15369,14877,14982,14282,12425,12376,13169,13363
문서,발생비[건/10만명],건/10만명,35,34.9,30.3,29.7,28.7,28.9,27.6,24.1,24.1,25.7,26.1
문서,검거건수[건],건,13278,14908,13031,12810,12600,12236,11036,9256,8962,10438,10712
문서,발생건수대비 검거건수[%],%,74.1,82.8,83.2,83.3,84.7,81.7,77.3,74.5,72.4,79.3,80.2
문서,검거인원[명],명,22011,21085,19633,17969,17714,18840,17518,12865,13033,14018,13820
문서,남자검거인원[명],명,15427,15112,13827,12732,12392,13156,12156,8869,8968,9604,9304
문서,여자검거인원[명],명,5396,5210,5116,4514,4461,4708,4450,3289,3479,3871,3862
문서,미상검거인원[명],명,1188,763,690,723,861,976,912,707,586,543,654
문서,법인[개],개,98,112,85,134,74,100,81,53,39,38,104
인장,발생건수[건],건,528,700,794,1023,1209,563,587,632,723,643,1381
인장,발생비[건/10만명],건/10만명,1,1.4,1.5,2,2.3,1.1,1.1,1.2,1.4,1.3,2.7
인장,검거건수[건],건,443,542,683,920,1128,447,436,490,539,437,1181
인장,발생건수대비 검거건수[%],%,83.9,77.4,86,89.9,93.3,79.4,74.3,77.5,74.6,68,85.5
인장,검거인원[명],명,571,631,701,601,489,532,523,439,411,522,641
인장,남자검거인원[명],명,479,527,583,508,399,440,425,367,350,427,550
인장,여자검거인원[명],명,84,88,93,77,68,82,78,68,52,66,64
인장,미상검거인원[명],명,8,16,25,16,22,10,20,4,9,29,27
인장,법인[개],개,2,3,5,2,3,1,2,-,1,3,1
공무원범죄,발생건수[건],건,2705,3286,3103,3845,4422,3879,3689,3717,4775,4242,3812
공무원범죄,발생비[건/10만명],건/10만명,5,6.4,6,7.4,8.5,7.5,7.1,7.2,9.3,8.3,7.4
공무원범죄,검거건수[건],건,1448,2417,2257,2560,2646,2425,2030,1827,1574,2030,2295
공무원범죄,발생건수대비 검거건수[%],%,53.5,73.6,72.7,66.6,59.8,62.5,55,49.2,33,47.9,60.2
공무원범죄,검거인원[명],명,4228,4951,5049,6161,8519,7250,7379,5268,5903,5150,4354
공무원범죄,남자검거인원[명],명,2801,3285,2839,3388,3282,3153,3005,2524,2573,2192,2247
공무원범죄,여자검거인원[명],명,266,337,331,389,572,512,661,430,462,401,435
공무원범죄,미상검거인원[명],명,1161,1329,1879,2384,4665,3585,3713,2314,2868,2557,1672
공무원범죄,법인[개],개,43,20,28,35,56,68,118,18,33,15,448
직무유기,발생건수[건],건,1072,1052,1070,1316,1558,1365,1419,1423,1907,1497,1203
직무유기,발생비[건/10만명],건/10만명,2,2,2.1,2.5,3,2.6,2.7,2.8,3.7,2.9,2.3
직무유기,검거건수[건],건,454,653,682,709,808,728,653,543,484,657,667
직무유기,발생건수대비 검거건수[%],%,42.4,62.1,63.7,53.9,51.9,53.3,46,38.2,25.4,43.9,55.4
직무유기,검거인원[명],명,1564,1685,2020,2063,2766,2601,3289,1787,2100,1755,1314
직무유기,남자검거인원[명],명,829,865,747,788,805,868,914,741,768,631,555
직무유기,여자검거인원[명],명,141,138,148,149,190,190,293,173,182,160,142
직무유기,미상검거인원[명],명,594,682,1125,1126,1771,1543,2082,873,1150,964,617
직무유기,법인[개],개,15,15,7,13,13,49,55,8,9,5,131
직권남용,발생건수[건],건,833,992,1040,1372,1835,1784,1668,1588,2304,2202,1868
직권남용,발생비[건/10만명],건/10만명,2,1.9,2,2.6,3.5,3.4,3.2,3.1,4.5,4.3,3.6
직권남용,검거건수[건],건,330,605,654,801,955,1055,885,671,665,880,986
직권남용,발생건수대비 검거건수[%],%,39.6,61,62.9,58.4,52,59.1,53.1,42.3,28.9,40,52.8
직권남용,검거인원[명],명,1224,1423,1558,2175,3998,3170,2866,2501,2817,2453,1994
직권남용,남자검거인원[명],명,680,751,766,945,1068,1124,1114,1010,1022,810,794
직권남용,여자검거인원[명],명,55,84,86,107,141,166,233,139,171,127,161
직권남용,미상검거인원[명],명,489,588,706,1123,2789,1880,1519,1352,1624,1516,1039
직권남용,법인[개],개,13,1,8,11,27,7,51,3,3,2,218
수뢰,발생건수[건],건,530,767,629,762,757,540,472,586,453,412,532
수뢰,발생비[건/10만명],건/10만명,1,1.5,1.2,1.5,1.5,1,0.9,1.1,0.9,0.8,1
수뢰,검거건수[건],건,443,713,584,684,653,473,380,518,340,372,456
수뢰,발생건수대비 검거건수[%],%,83.6,93,92.8,89.8,86.3,87.6,80.5,88.4,75.1,90.3,85.7
수뢰,검거인원[명],명,929,1129,919,1257,1289,1064,973,699,756,678,779
수뢰,남자검거인원[명],명,824,1024,832,1046,1015,807,772,534,602,542,659
수뢰,여자검거인원[명],명,41,61,54,96,191,126,99,96,89,94,104
수뢰,미상검거인원[명],명,64,44,33,115,83,131,102,69,65,42,16
수뢰,법인[개],개,10,4,8,6,11,8,12,6,17,7,67
증뢰,발생건수[건],건,270,475,364,395,272,190,130,120,111,131,209
증뢰,발생비[건/10만명],건/10만명,1,0.9,0.7,0.8,0.5,0.4,0.3,0.2,0.2,0.3,0.4
증뢰,검거건수[건],건,221,446,337,366,230,169,112,95,85,121,186
증뢰,발생건수대비 검거건수[%],%,81.9,93.9,92.6,92.7,84.6,88.9,86.2,79.2,76.6,92.4,89
증뢰,검거인원[명],명,511,714,552,666,466,415,251,281,230,264,267
증뢰,남자검거인원[명],명,468,645,494,609,394,354,205,239,181,209,239
증뢰,여자검거인원[명],명,29,54,43,37,50,30,36,22,20,20,28
증뢰,미상검거인원[명],명,14,15,15,20,22,31,10,20,29,35,-
증뢰,법인[개],개,5,-,5,5,5,4,-,1,4,1,32
풍속범죄,발생건수[건],건,9580,10252,15856,12161,9097,11447,10951,9135,7016,8636,11409
풍속범죄,발생비[건/10만명],건/10만명,19,19.9,30.7,23.5,17.6,22.1,21.1,17.7,13.6,16.8,22.3
풍속범죄,검거건수[건],건,8875,9687,15003,11408,8314,10566,10092,8339,6304,7955,10618
풍속범죄,발생건수대비 검거건수[%],%,92.6,94.5,94.6,93.8,91.4,92.3,92.2,91.3,89.9,92.1,93.1
풍속범죄,검거인원[명],명,28367,30324,35809,26941,22560,24687,23434,16755,13820,17026,27750
풍속범죄,남자검거인원[명],명,23548,24677,30861,22731,18702,20690,20315,14681,11915,14572,23264
풍속범죄,여자검거인원[명],명,4729,5604,4870,4130,3716,3865,3068,2021,1875,2421,4422
풍속범죄,미상검거인원[명],명,90,43,78,80,142,132,51,53,30,33,64
풍속범죄,법인[개],개,16,1,3,1,4,5,3,1,2,1,3
도박과 복표,발생건수[건],건,7448,7823,13084,8799,6074,8086,8068,6321,4407,5892,8943
도박과 복표,발생비[건/10만명],건/10만명,15,15.2,25.3,17,11.7,15.6,15.6,12.2,8.6,11.5,17.5
도박과 복표,검거건수[건],건,7207,7767,12794,8642,5943,7906,7820,6066,4189,5678,8554
도박과 복표,발생건수대비 검거건수[%],%,96.8,99.3,97.8,98.2,97.8,97.8,96.9,96,95.1,96.4,95.7
도박과 복표,검거인원[명],명,26503,28252,33323,23918,19526,21326,21024,14348,11577,14646,25523
도박과 복표,남자검거인원[명],명,21828,22727,28573,19898,16049,17880,18025,12405,9812,12373,21232
도박과 복표,여자검거인원[명],명,4604,5502,4705,3982,3442,3405,2957,1926,1740,2248,4259
도박과 복표,미상검거인원[명],명,71,23,45,38,35,41,42,17,25,25,32
도박과 복표,법인[개],개,14,1,1,1,-,3,2,1,2,1,2
도박,발생건수[건],건,7445,7822,13084,8797,6074,8086,8067,6318,4399,5882,8924
도박,발생비[건/10만명],건/10만명,15,15.2,25.3,17,11.7,15.6,15.6,12.2,8.6,11.5,17.4
도박,검거건수[건],건,7204,7766,12794,8640,5943,7906,7819,6063,4182,5670,8535
도박,발생건수대비 검거건수[%],%,96.8,99.3,97.8,98.2,97.8,97.8,96.9,96,95.1,96.4,95.6
도박,검거인원[명],명,26496,28251,33323,23915,19526,21326,21023,14344,11568,14637,25499
도박,남자검거인원[명],명,21822,22726,28573,19895,16049,17880,18024,12401,9803,12364,21217
도박,여자검거인원[명],명,4603,5502,4705,3982,3442,3405,2957,1926,1740,2248,4250
도박,미상검거인원[명],명,71,23,45,38,35,41,42,17,25,25,32
도박,법인[개],개,14,1,1,1,-,3,2,-,2,1,2
복표,발생건수[건],건,3,1,-,2,-,-,1,3,8,10,19
복표,발생비[건/10만명],건/10만명,-,0,-,0,-,-,0,0,0,0,0
복표,검거건수[건],건,3,1,-,2,-,-,1,3,7,8,19
복표,발생건수대비 검거건수[%],%,100,100,-,100,-,-,100,100,87.5,80,100
복표,검거인원[명],명,7,1,-,3,-,-,1,4,9,9,24
복표,남자검거인원[명],명,6,1,-,3,-,-,1,4,9,9,15
복표,여자검거인원[명],명,1,-,-,,-,-,-,-,-,-,9
복표,미상검거인원[명],명,-,-,-,,-,-,-,-,-,-,-
복표,법인[개],개,-,-,-,,-,-,-,1,-,-,-
신앙,발생건수[건],건,268,304,272,323,374,365,228,252,227,287,235
신앙,발생비[건/10만명],건/10만명,1,0.6,0.5,0.6,0.7,0.7,0.4,0.5,0.4,0.6,0.5
신앙,검거건수[건],건,220,249,231,259,322,322,163,205,172,240,210
신앙,발생건수대비 검거건수[%],%,82.1,81.9,84.9,80.2,86.1,88.2,71.5,81.3,75.8,83.6,89.4
신앙,검거인원[명],명,463,449,503,526,967,1007,303,365,303,361,353
신앙,남자검거인원[명],명,333,346,374,398,622,517,227,277,227,252,251
신앙,여자검거인원[명],명,113,87,102,92,240,404,70,54,73,103,87
신앙,미상검거인원[명],명,17,16,27,36,105,86,6,34,3,6,15
신앙,법인[개],개,2,-,1,,4,2,-,-,-,-,-
공연음란,발생건수[건],건,1864,2125,2500,3039,2649,2996,2655,2562,2382,2457,2231
공연음란,발생비[건/10만명],건/10만명,4,4.1,4.8,5.9,5.1,5.8,5.1,5,4.6,4.8,4.4
공연음란,검거건수[건],건,1448,1671,1978,2507,2049,2338,2109,2068,1943,2037,1854
공연음란,발생건수대비 검거건수[%],%,77.7,78.6,79.1,82.5,77.3,78,79.4,80.7,81.6,82.9,83.1
공연음란,검거인원[명],명,1401,1623,1983,2497,2067,2354,2107,2042,1940,2019,1874
공연음란,남자검거인원[명],명,1387,1604,1914,2435,2031,2293,2063,1999,1876,1947,1781
공연음란,여자검거인원[명],명,12,15,63,56,34,56,41,41,62,70,76
공연음란,미상검거인원[명],명,2,4,6,6,2,5,3,2,2,2,17
공연음란,법인[개],개,-,-,1,,-,-,1,-,-,-,1
과실범죄,발생건수[건],건,7092,7599,7708,8419,8836,9176,8873,8179,8901,9803,9574
과실범죄,발생비[건/10만명],건/10만명,14,14.7,14.9,16.3,17,17.7,17.1,15.8,17.3,19.1,18.7
과실범죄,검거건수[건],건,6187,6697,6912,7550,7930,8202,7839,7087,7532,8675,8602
과실범죄,발생건수대비 검거건수[%],%,87.2,88.1,89.7,89.7,89.7,89.4,88.3,86.6,84.6,88.5,89.8
과실범죄,검거인원[명],명,8371,8962,9358,10184,10488,11169,10987,9522,9788,11213,10968
과실범죄,남자검거인원[명],명,6762,7086,7433,8077,8173,8583,8445,7383,7521,8576,8127
과실범죄,여자검거인원[명],명,1515,1758,1777,1950,2155,2365,2391,2020,2162,2485,2623
과실범죄,미상검거인원[명],명,94,118,148,157,160,221,151,119,105,152,218
과실범죄,법인[개],개,69,103,94,86,88,79,90,57,58,52,45
과실치사상,발생건수[건],건,1872,2143,2266,2583,2806,3130,2883,2557,2682,2946,3078
과실치사상,발생비[건/10만명],건/10만명,4,4.2,4.4,5,5.4,6,5.6,5,5.2,5.7,6
과실치사상,검거건수[건],건,1657,1849,1988,2288,2471,2706,2508,2229,2297,2626,2799
과실치사상,발생건수대비 검거건수[%],%,88.5,86.3,87.7,88.6,88.1,86.5,87,87.2,85.6,89.1,90.9
과실치사상,검거인원[명],명,1972,2182,2337,2666,2884,3216,2891,2523,2559,2796,2929
과실치사상,남자검거인원[명],명,1400,1511,1602,1810,1896,2048,1838,1566,1551,1703,1705
과실치사상,여자검거인원[명],명,543,629,691,800,934,1107,1026,919,976,1031,1138
과실치사상,미상검거인원[명],명,29,42,44,56,54,61,27,38,32,62,86
과실치사상,법인[개],개,4,2,1,,-,3,-,-,2,5,3
과실치상,발생건수[건],건,1848,2111,2240,2536,2766,3091,2846,2524,2663,2914,3048
과실치상,발생비[건/10만명],건/10만명,4,4.1,4.3,4.9,5.3,6,5.5,4.9,5.2,5.7,6
과실치상,검거건수[건],건,1634,1817,1962,2246,2434,2669,2472,2197,2280,2596,2769
과실치상,발생건수대비 검거건수[%],%,88.4,86.1,87.6,88.6,88,86.3,86.9,87,85.6,89.1,90.8
과실치상,검거인원[명],명,1945,2136,2296,2601,2831,3162,2836,2488,2535,2765,2891
과실치상,남자검거인원[명],명,1381,1480,1573,1770,1855,2007,1799,1543,1534,1683,1679
과실치상,여자검거인원[명],명,535,614,679,778,923,1097,1014,908,969,1020,1126
과실치상,미상검거인원[명],명,29,42,44,53,53,58,23,37,32,62,86
